frame_id,steering_angle,Smoothed_angle,Predicted_Steering_Angle
1479425441183205527,1.54614647524,30.8333333333,21.4946787426
1479425441233038380,3.01210662584,31.15,21.3905593389
1479425441283030878,4.32845210025,31.4166666667,19.8974475429
1479425441333087118,5.55782591673,31.6666666667,19.5683109721
1479425441387141307,6.77158451868,31.9166666667,20.5082491623
1479425441433005242,7.84555004682,32.1333333333,19.2150262674
1479425441483062777,8.75853179777,32.3,17.5987729909
1479425441533126352,9.61466135468,32.45,17.6150749449
1479425441583030194,9.98275149152,32.5,12.1114758514
1479425441633004275,9.98969171259,32.4833333333,9.98921569417
1479425441683014916,9.97071513184,32.45,9.96046486663
1479425441733130999,10.3322118482,32.45,12.400744608
1479425441783024968,10.5583395657,32.4166666667,11.5344367109
1479425441833093303,10.7628067339,32.3666666667,11.5920297197
1479425441883145106,11.2174616439,32.35,14.1903096658
1479425441933125916,11.6057549681,32.3,13.9226336985
1479425441983115597,11.9586737705,32.2333333333,13.9498067523
1479425442035175624,12.4674622451,32.2,16.0161959621
1479425442083131375,12.9262762508,32.1333333333,15.9421037776
1479425442133142876,13.5790203706,32.1,18.8224389468
1479425442183127578,14.0290604257,32.0166666667,16.9544710012
1479425442233163092,13.6789760964,31.8333333333,11.7131912992
1479425442283340032,13.4118001942,31.65,12.1349631644
1479425442333176868,13.4866873303,31.4666666667,13.6409216924
1479425442383162710,13.0930689275,31.2166666667,10.7256765726
1479425442433029312,12.7372549869,30.95,10.7201142373
1479425442483128266,12.8852855677,30.7166666667,13.3740243666
1479425442532975987,13.043134068,30.4666666667,13.5864432498
1479425442583007784,13.1973451961,30.2,13.720196283
1479425442633037757,13.4341575954,29.9333333333,14.4857776729
1479425442682943610,12.9202951609,29.5666666667,9.31578807031
1479425442733063617,12.4468172792,29.1833333333,9.27775330814
1479425442783152067,12.2565341787,28.8166666667,11.5188015541
1479425442833090460,11.520292787,28.3333333333,5.19359687082
1479425442883071976,10.8458330172,27.8333333333,5.32746388279
1479425442933012319,9.96631915657,27.25,1.62396210548
